tt_action_item_id,time_begin,order_date,manual_fill,tr_id,geom,building_address
53698370136,2026-01-06 15:55:00,2026-01-06,False,130238,POINT (37.5111841 55.71290637),"Мосфильмовская ул., д.31"
53698370143,2026-01-06 15:58:00,2026-01-06,False,130238,POINT (37.5200971 55.71789828),"Мосфильмовская ул., д.13"
53698370134,2026-01-06 15:57:00,2026-01-06,False,130238,POINT (37.51646301 55.71586499),"Мосфильмовская ул., д.17"
53698370148,2026-01-06 16:00:00,2026-01-06,False,130238,POINT (37.52635477 55.72144148),"Мосфильмовская ул., д.1"
53698370151,2026-01-06 16:01:00,2026-01-06,False,130238,POINT (37.52993667 55.72347762),"Мосфильмовская ул., д.1"
53698370139,2026-01-06 16:02:00,2026-01-06,False,130238,POINT (37.53332687 55.72537339),"Мосфильмовская ул., д.2В"
53698370135,2026-01-06 16:03:00,2026-01-06,False,130238,POINT (37.53676635 55.72691416),"Воробьёвское ш., д.6"
53698370150,2026-01-06 16:09:00,2026-01-06,False,130238,POINT (37.56550486 55.73773518),"Бережковская наб., д.12"
53698370129,2026-01-06 16:11:00,2026-01-06,False,130238,POINT (37.5678482 55.74367364),"пл. Киевского Вокзала, д.1"
53698370173,2026-01-06 16:31:00,2026-01-06,False,130238,POINT (37.5678482 55.74367364),"пл. Киевского Вокзала, д.1"
53698370186,2026-01-06 16:31:00,2026-01-06,False,130238,POINT (37.56626241 55.74358086),"пл. Киевского Вокзала, д.1"
53698370164,2026-01-06 16:33:00,2026-01-06,False,130238,POINT (37.56666475 55.73930454),"Бережковская наб., д.8"
53698370160,2026-01-06 16:34:00,2026-01-06,False,130238,POINT (37.56376307 55.73679346),"Бережковская наб., д.14"
53698370178,2026-01-06 16:36:00,2026-01-06,False,130238,POINT (37.55526161 55.73264475),"Бережковская наб., д.16"
53698370183,2026-01-06 16:37:00,2026-01-06,False,130238,POINT (37.55064232 55.73059741),
53698370176,2026-01-06 16:39:00,2026-01-06,False,130238,POINT (37.54389598 55.72856888),Воробьёвское ш.
53698370162,2026-01-06 16:40:00,2026-01-06,False,130238,POINT (37.53625536 55.72712577),"Воробьёвское ш., д.6"
53698370184,2026-01-06 16:41:00,2026-01-06,False,130238,POINT (37.53301564 55.72558421),"Мосфильмовская ул., д.2В"
53698370168,2026-01-06 16:45:00,2026-01-06,False,130238,POINT (37.51905952 55.71773529),"Мосфильмовская ул., д.13"
53698370161,2026-01-06 16:46:00,2026-01-06,False,130238,POINT (37.51638878 55.71621425),"Мосфильмовская ул., д.60"
